name,id,twitter,groupe_sigle
Philippe Benassaya,642,PhilipBenassaya,LR
Justine Benin,536,Justine_BENIN,MODEM
Thierry Benoit,173,ThierryBenoit35,UDI
Aurore Bergé,23,auroreberge,LREM
Ugo Bernalicis,260,ugobernalicis,LFI
Philippe Berta,268,PBertaGard,MODEM
Hervé Berville,286,HerveBerville,LREM
Grégory Besson-Moreau,99,GBessonMoreau,LREM
Barbara Bessot Ballot,16,B_BessotBallot,LREM
Bruno Bilde,314,BrunoBilde,NI
Gisèle Biémouret,462,GiseleBiemouret,SOC
Anne Blanc,210,AnneBlanc_12,LREM
Christophe Blanchet,237,christoblanchet,MODEM
Yves Blein,505,yves_blein,LREM
Anne-Laure Blin,643,AnneLaureBlin,LR
Pascal Bois,452,PascalBoisLaREM,LREM
Philippe Bolo,361,phbolo,MODEM
Jacques Bompard,328,JacquesBompard,NI
Bruno Bonnell,349,BrunoBonnellOff,LREM
Émilie Bonnivard,541,BonnivardE,LR
Aude Bono-Vandorme,177,AudeBono,LREM
Julien Borowczyk,387,JulienBorowczyk,LREM
Éric Bothorel,274,ebothorel,LREM
Ian Boucard,109,IanBoucard,LR
Claire Bouchet,635,ClaireBouchet05,LREM
Jean-Claude Bouchet,354,JCBOUCHET,LR
Sylvie Bouchet Bellecourt,619,SBouchetB,LR
Florent Boudié,64,florent_boudie,LREM
Christophe Bouillon,122,Chris_Bouillon,SOC
Bernard Bouley,630,BouleyBernard,LR
Brigitte Bourguignon,66,BrigBourguignon,LREM
Jean-Louis Bourlanges,171,JLBourlanges,MODEM
Pierre-Yves Bournazel,334,pybournazel,AE
Bertrand Bouyx,181,BertrandBouyx,LREM
Pascale Boyer,435,pascaleboyer05,LREM
Sandra Boëlle,615,SBoelle,LR
Yaël Braun-Pivet,296,YaelBRAUNPIVET,LREM
Marine Brenier,408,marinebrenier,LR
Xavier Breton,42,bretonxavier,LR
Sylvain Brial,589,SylvainBrial,LT
Jean-Louis Bricout,262,jlbricout,SOC
Jean-Jacques Bridey,527,jjbridey94260,LREM
Pascal Brindeau,602,pascalbrindeau,UDI
Blandine Brocard,196,BBrocard,MODEM
Moetai Brotherson,563,Moetai1,GDR
Vincent Bru,468,bru_vincent,MODEM
Anne Brugnera,504,AnneBrugnera,LREM
Danielle Brulebois,184,dbrulebois,LREM
Fabrice Brun,512,FabriceBrun,LR
Alain Bruneel,407,Alain_Bruneel,GDR
Anne-France Brunet,337,AFBrunet_4403,LREM
Stéphane Buchou,437,StephaneBuchou,LREM
Carole Bureau-Bonnard,18,CaroleBBonnard,LREM
Pierre Cabaré,289,DeputeCabareP,LREM
Céline Calvez,539,celinecalvez,LREM
Émilie Cariou,567,EmilieCariou,NI
Gilles Carrez,430,GillesCarrez,LR
Christophe Castaner,537,CCastaner,LREM
Michel Castellani,231,Castellani_,LT
Anne-Laure Cattelot,35,ALCattelot,LREM
Jacques Cattin,207,JCattin2017,LR
Lionel Causse,372,DeputeCausse,LREM
Samantha Cazebonne,233,scazebonne,LREM
Jean-René Cazeneuve,147,jrcazeneuve,LREM
Sébastien Cazenove,188,SebCazenove,LREM
Anthony Cellier,465,anthonycellier,LREM
Jean-François Cesarini,559,JFCesarini,LREM
Émilie Chalas,428,EmilieCChalas,LREM
Philippe Chalumeau,142,Chalumeau_P,LREM
Annie Chapelier,85,chapelierannie,AE
Sylvie Charrière,238,SylvieCharriere,LREM
Fannette Charvier,330,F_Charvier,LREM
André Chassaigne,94,AndreChassaigne,GDR
Philippe Chassaing,236,ChassaingPh,LREM
Sébastien Chenu,179,sebchenu,NI
Gérard Cherpion,155,GerardCherpion,LR
Guillaume Chiche,318,GuillaumeChiche,NI
Francis Chouat,601,fchouat,LREM
Paul Christophe,380,christophe_p,AE
Dino Cinieri,450,DinoCinieri,LR
Éric Ciotti,101,ECiotti,LR
Stéphane Claireaux,582,sclaireaux,LREM
Mireille Clapot,571,clapotmireille,LREM
Christine Cloarec-Le Nabour,345,ChrisCloarec,LREM
Jean-Michel Clément,347,jmclement86,LT
Jean-Charles Colas-Roy,301,JCColasRoy,LREM
Fabienne Colboc,278,fabiennecolboc,LREM
Gilbert Collard,340,GilbertCollard,NI
Paul-André Colombani,339,pacolombani,LT
Éric Coquerel,316,ericcoquerel,LFI
Alexis Corbière,397,alexiscorbiere,LFI
David Corceiro,636,CorceiroDavid,MODEM
Pierre Cordier,203,CORDIERPierre08,LR
François Cormier-Bouligeon,261,FCBDeputeduCher,LREM
Josiane Corneloup,515,J_Corneloup,LR
François Cornut-Gentille,112,FCornutGentille,LR
Bérangère Couillard,391,BCouillard33,LREM
Charles de Courson,553,C_deCourson,LT
Yolaine de Courson,98,yodecourson,MODEM
Michèle Crouzet,115,michelecrouzet,MODEM
Jean-Pierre Cubertafon,420,dep_cubertafon,MODEM
Dominique Da Silva,552,DDaSilva95,LREM
Olivier Damaisin,169,olivierdam1,LREM
Yves Daniel,287,ydaniel_depute,LREM
Geneviève Darrieussecq,132,gdarrieussecq,MODEM
Olivier Dassault,14,ODassault,LR
Alain David,84,AlainDavid_AN,SOC
Dominique David,494,DominiqueDavid_,LREM
Bernard Deflesselles,134,BDeflesselles,LR
Typhanie Degois,556,Typhanie_Degois,LREM
Marc Delatte,167,MarcDelatte,LREM
Cécile Delpirou,631,c_delpirou,LREM
Michel Delpon,521,DelponMichelEM,LREM
Marguerite Deprez-Audebert,555,MDeprezAudebert,MODEM
Béatrice Descamps,561,beadescamps,UDI
Vincent Descoeur,53,VincentDescoeur,LR
Frédéric Descrozaille,558,fdescrozaille,LREM
Pierre Dharréville,367,pdharreville,GDR
Fabien Di Filippo,331,FabienDiFilippo,LR
Christophe Di Pompeo,566,DipompeoChrist,LREM
Éric Diard,362,DiardEric,LR
Benjamin Dirx,518,BenjaminDirx,LREM
Julien Dive,125,juliendive,LR
Jean-Baptiste Djebbari,67,Djebbari_JB,LREM
Stéphanie Do,532,DoStephanie_77,LREM
Loïc Dombreval,520,loicdombreval,LREM
Jean-Pierre Door,172,doorjean,LR
Jacqueline Dubois,187,jacqlinedubois,LREM
Marianne Dubois,60,DuboisMarianne,LR
Christelle Dubos,543,duboschristelle,LREM
Coralie Dubost,102,CoDubost,LREM
Nicole Dubré-Chirat,254,NicoleDubre17,LREM
Virginie Duby-Muller,291,DubyMuller,LR
Audrey Dufeu,63,audreydufeu,LREM
Jean-Paul Dufrègne,523,JP_Dufregne,GDR
Françoise Dumas,440,fdumasdeputee,LREM
Frédérique Dumas,459,dumasfrederique,LT
Laurence Dumont,481,LDumontDeputee,SOC
Pierre-Henri Dumont,118,phdumont,LR
Stella Dupont,519,stelladupont,LREM
Nicolas Dupont-Aignan,377,dupontaignan,NI
Olivier Dussopt,25,olivierdussopt,NG
Bruno Duvergé,24,BrunoDuverge,MODEM
Nicolas Démoulin,386,demoulinem,LREM
